symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
ICXUSDT,LONG,2024-01-02 08:15:00,0.3059,2024-01-02 09:45:00,0.30879799999999996,653.8084341288003,1.89,0.95,TRAILING_STOP,18
ACEUSDT,LONG,2024-01-02 12:00:00,10.6882,2024-01-02 12:10:00,11.0129,18.712224696394156,6.08,3.04,TRAILING_STOP,2
ASTRUSDT,LONG,2024-01-02 12:15:00,0.16464,2024-01-02 12:40:00,0.16791,1214.7716229348882,3.97,1.99,TRAILING_STOP,5
BANDUSDT,LONG,2024-01-02 20:45:00,2.4444,2024-01-03 01:10:00,2.248848,81.81966944853544,-16.00,-8.00,STOP_LOSS,53
BATUSDT,LONG,2024-01-03 08:15:00,0.2843,2024-01-03 08:40:00,0.287532,703.4822370735139,2.27,1.14,TRAILING_STOP,5
MAVUSDT,LONG,2024-01-03 14:45:00,0.523,2024-01-03 15:25:00,0.5339,382.40917782026764,4.17,2.08,TRAILING_STOP,8
SKLUSDT,LONG,2024-01-03 17:15:00,0.10298,2024-01-03 20:00:00,0.09474160000000001,1942.1246844047387,-16.00,-8.00,STOP_LOSS,33
1000RATSUSDT,SHORT,2024-01-03 20:00:00,0.2927,2024-01-03 20:05:00,0.27245,683.293474547318,13.84,6.92,TRAILING_STOP,1
FILUSDT,SHORT,2024-01-03 20:15:00,6.152,2024-01-03 20:45:00,6.64416,32.50975292587776,-16.00,-8.00,STOP_LOSS,6
AVAXUSDT,SHORT,2024-01-03 20:15:00,34.281,2024-01-03 20:45:00,37.02348,5.834135526968292,-16.00,-8.00,STOP_LOSS,6
CHRUSDT,LONG,2024-01-03 21:00:00,0.2635,2024-01-03 21:10:00,0.24242000000000002,759.0132827324478,-16.00,-8.00,STOP_LOSS,2
SEIUSDT,LONG,2024-01-03 21:15:00,0.8031,2024-01-03 21:25:00,0.7388520000000001,249.03498941601293,-16.00,-8.00,STOP_LOSS,2
PEOPLEUSDT,LONG,2024-01-03 21:30:00,0.01952,2024-01-03 21:35:00,0.0200116,10245.901639344263,5.04,2.52,TRAILING_STOP,1
ENSUSDT,LONG,2024-01-03 21:45:00,11.619,2024-01-03 21:50:00,11.988,17.213185299939756,6.35,3.18,TRAILING_STOP,1
