time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,1012.99
2024-01-04 08:00:00,1007.09
2024-01-05 08:00:00,993.97
2024-01-06 08:00:00,1007.71
2024-01-07 08:00:00,1013.51
2024-01-08 08:00:00,1011.81
2024-01-09 08:00:00,1010.05
2024-01-10 08:00:00,991.71
2024-01-11 08:00:00,1031.70
2024-01-12 08:00:00,1019.91
2024-01-13 08:00:00,997.84
2024-01-14 08:00:00,1002.94
2024-01-15 08:00:00,1007.77
2024-01-16 08:00:00,1017.90
2024-01-17 08:00:00,1026.27
2024-01-18 08:00:00,1034.98
2024-01-19 08:00:00,1048.89
2024-01-20 08:00:00,1045.47
2024-01-21 08:00:00,1034.82
2024-01-22 08:00:00,1027.83
2024-01-23 08:00:00,1020.08
2024-01-24 08:00:00,1013.52
2024-01-25 08:00:00,1022.88
2024-01-26 08:00:00,1024.54
2024-01-27 08:00:00,1027.26
2024-01-28 08:00:00,1034.41
2024-01-29 08:00:00,1035.17
2024-01-30 08:00:00,1039.57
2024-01-31 08:00:00,1048.03
2024-02-01 08:00:00,1051.89
2024-02-02 08:00:00,1051.78
2024-02-03 08:00:00,1058.10
2024-02-04 08:00:00,1060.76
2024-02-05 08:00:00,1061.68
2024-02-06 08:00:00,1058.73
2024-02-07 08:00:00,1072.24
2024-02-08 08:00:00,1060.62
2024-02-09 08:00:00,1065.02
2024-02-10 08:00:00,1060.43
2024-02-11 08:00:00,1079.27
2024-02-12 08:00:00,1081.22
2024-02-13 08:00:00,1090.75
2024-02-14 08:00:00,1091.65
2024-02-15 08:00:00,1081.49
2024-02-16 08:00:00,1095.50
2024-02-17 08:00:00,1076.30
2024-02-18 08:00:00,1065.33
2024-02-19 08:00:00,1069.42
2024-02-20 08:00:00,1055.34
2024-02-21 08:00:00,1040.13
2024-02-22 08:00:00,1039.94
2024-02-23 08:00:00,1032.80
2024-02-24 08:00:00,1043.25
2024-02-25 08:00:00,1053.00
2024-02-26 08:00:00,1071.10
2024-02-27 08:00:00,1079.25
2024-02-28 08:00:00,1064.27
2024-02-29 08:00:00,1080.71
2024-03-01 08:00:00,1105.91
2024-03-02 08:00:00,1132.03
2024-03-03 08:00:00,1209.46
2024-03-04 08:00:00,1201.55
2024-03-05 08:00:00,1192.48
2024-03-06 08:00:00,1221.37
2024-03-07 08:00:00,1190.83
2024-03-08 08:00:00,1163.95
2024-03-09 08:00:00,1155.04
2024-03-10 08:00:00,1206.24
2024-03-11 08:00:00,1168.34
2024-03-12 08:00:00,1148.29
2024-03-13 08:00:00,1143.44
2024-03-14 08:00:00,1128.86
2024-03-15 08:00:00,1136.65
2024-03-16 08:00:00,1087.60
2024-03-17 08:00:00,1095.21
2024-03-18 08:00:00,1079.26
2024-03-19 08:00:00,1086.75
2024-03-20 08:00:00,1086.71
2024-03-21 08:00:00,1105.71
2024-03-22 08:00:00,1097.06
2024-03-23 08:00:00,1106.18
2024-03-24 08:00:00,1103.78
2024-03-25 08:00:00,1102.20
2024-03-26 08:00:00,1093.67
2024-03-27 08:00:00,1100.00
2024-03-28 08:00:00,1105.05
2024-03-29 08:00:00,1105.91
2024-03-30 08:00:00,1124.96
2024-03-31 08:00:00,1114.80
2024-04-01 08:00:00,1134.32
