time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,1021.87
2024-01-04 08:00:00,1017.47
2024-01-05 08:00:00,1034.06
2024-01-06 08:00:00,1036.52
2024-01-07 08:00:00,1027.71
2024-01-08 08:00:00,1010.30
2024-01-09 08:00:00,1023.80
2024-01-10 08:00:00,989.19
2024-01-11 08:00:00,989.19
2024-01-12 08:00:00,990.42
2024-01-13 08:00:00,989.81
2024-01-14 08:00:00,985.18
2024-01-15 08:00:00,985.18
2024-01-16 08:00:00,985.18
2024-01-17 08:00:00,984.85
2024-01-18 08:00:00,984.85
2024-01-19 08:00:00,984.85
2024-01-20 08:00:00,1091.53
2024-01-21 08:00:00,1087.17
2024-01-22 08:00:00,1118.50
2024-01-23 08:00:00,1189.25
2024-01-24 08:00:00,1147.16
2024-01-25 08:00:00,1135.95
2024-01-26 08:00:00,1127.92
2024-01-27 08:00:00,1150.21
2024-01-28 08:00:00,1170.64
2024-01-29 08:00:00,1171.94
2024-01-30 08:00:00,1168.58
2024-01-31 08:00:00,1168.58
2024-02-01 08:00:00,1155.39
2024-02-02 08:00:00,1177.09
2024-02-03 08:00:00,1176.28
2024-02-04 08:00:00,1165.00
2024-02-05 08:00:00,1166.83
2024-02-06 08:00:00,1161.46
2024-02-07 08:00:00,1141.19
2024-02-08 08:00:00,1196.35
2024-02-09 08:00:00,1214.43
2024-02-10 08:00:00,1214.77
2024-02-11 08:00:00,1216.41
2024-02-12 08:00:00,1216.41
2024-02-13 08:00:00,1209.28
2024-02-14 08:00:00,1231.04
2024-02-15 08:00:00,1239.03
2024-02-16 08:00:00,1221.69
2024-02-17 08:00:00,1258.54
2024-02-18 08:00:00,1238.38
2024-02-19 08:00:00,1238.38
2024-02-20 08:00:00,1238.38
2024-02-21 08:00:00,1218.22
2024-02-22 08:00:00,1252.82
2024-02-23 08:00:00,1253.58
2024-02-24 08:00:00,1253.58
2024-02-25 08:00:00,1265.73
2024-02-26 08:00:00,1311.40
2024-02-27 08:00:00,1326.20
2024-02-28 08:00:00,1258.82
2024-02-29 08:00:00,1209.27
2024-03-01 08:00:00,1254.04
2024-03-02 08:00:00,1152.96
2024-03-03 08:00:00,1115.24
2024-03-04 08:00:00,1060.81
2024-03-05 08:00:00,1048.05
2024-03-06 08:00:00,1025.81
2024-03-07 08:00:00,1020.75
2024-03-08 08:00:00,1016.03
2024-03-09 08:00:00,942.19
2024-03-10 08:00:00,903.03
2024-03-11 08:00:00,966.45
2024-03-12 08:00:00,949.65
2024-03-13 08:00:00,995.98
2024-03-14 08:00:00,1029.13
2024-03-15 08:00:00,1013.54
2024-03-16 08:00:00,1061.29
2024-03-17 08:00:00,1041.14
2024-03-18 08:00:00,1028.29
2024-03-19 08:00:00,1028.18
2024-03-20 08:00:00,1022.17
2024-03-21 08:00:00,1027.80
2024-03-22 08:00:00,1010.22
2024-03-23 08:00:00,1010.22
2024-03-24 08:00:00,1010.22
2024-03-25 08:00:00,1012.75
2024-03-26 08:00:00,1011.56
2024-03-27 08:00:00,1006.27
2024-03-28 08:00:00,1012.43
2024-03-29 08:00:00,1009.32
2024-03-30 08:00:00,1015.88
2024-03-31 08:00:00,1014.88
2024-04-01 08:00:00,1013.00
