time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,1010.92
2024-01-04 08:00:00,1022.28
2024-01-05 08:00:00,1003.87
2024-01-06 08:00:00,1018.23
2024-01-07 08:00:00,1027.42
2024-01-08 08:00:00,1021.68
2024-01-09 08:00:00,1001.40
2024-01-10 08:00:00,977.34
2024-01-11 08:00:00,978.32
2024-01-12 08:00:00,938.75
2024-01-13 08:00:00,936.05
2024-01-14 08:00:00,937.81
2024-01-15 08:00:00,937.81
2024-01-16 08:00:00,938.72
2024-01-17 08:00:00,942.46
2024-01-18 08:00:00,942.46
2024-01-19 08:00:00,940.12
2024-01-20 08:00:00,938.16
2024-01-21 08:00:00,941.81
2024-01-22 08:00:00,953.62
2024-01-23 08:00:00,956.33
2024-01-24 08:00:00,929.65
2024-01-25 08:00:00,929.82
2024-01-26 08:00:00,931.95
2024-01-27 08:00:00,921.77
2024-01-28 08:00:00,921.73
2024-01-29 08:00:00,915.48
2024-01-30 08:00:00,917.70
2024-01-31 08:00:00,916.60
2024-02-01 08:00:00,916.60
2024-02-02 08:00:00,916.46
2024-02-03 08:00:00,916.46
2024-02-04 08:00:00,914.19
2024-02-05 08:00:00,915.64
2024-02-06 08:00:00,915.90
2024-02-07 08:00:00,911.86
2024-02-08 08:00:00,899.97
2024-02-09 08:00:00,899.97
2024-02-10 08:00:00,894.36
2024-02-11 08:00:00,902.61
2024-02-12 08:00:00,913.60
2024-02-13 08:00:00,916.95
2024-02-14 08:00:00,911.20
2024-02-15 08:00:00,926.74
2024-02-16 08:00:00,922.79
2024-02-17 08:00:00,899.05
2024-02-18 08:00:00,900.20
2024-02-19 08:00:00,883.45
2024-02-20 08:00:00,889.07
2024-02-21 08:00:00,886.27
2024-02-22 08:00:00,886.23
2024-02-23 08:00:00,883.60
2024-02-24 08:00:00,880.93
2024-02-25 08:00:00,901.17
2024-02-26 08:00:00,897.35
2024-02-27 08:00:00,867.19
2024-02-28 08:00:00,869.14
2024-02-29 08:00:00,878.82
2024-03-01 08:00:00,879.90
2024-03-02 08:00:00,887.89
2024-03-03 08:00:00,902.30
2024-03-04 08:00:00,893.96
2024-03-05 08:00:00,916.81
2024-03-06 08:00:00,975.22
2024-03-07 08:00:00,933.68
2024-03-08 08:00:00,935.05
2024-03-09 08:00:00,953.80
2024-03-10 08:00:00,993.92
2024-03-11 08:00:00,990.80
2024-03-12 08:00:00,974.36
2024-03-13 08:00:00,945.83
2024-03-14 08:00:00,937.37
2024-03-15 08:00:00,921.99
2024-03-16 08:00:00,897.23
2024-03-17 08:00:00,902.10
2024-03-18 08:00:00,906.10
2024-03-19 08:00:00,910.83
2024-03-20 08:00:00,908.59
2024-03-21 08:00:00,926.72
2024-03-22 08:00:00,933.72
2024-03-23 08:00:00,911.92
2024-03-24 08:00:00,912.22
2024-03-25 08:00:00,914.78
2024-03-26 08:00:00,910.72
2024-03-27 08:00:00,915.72
2024-03-28 08:00:00,927.82
2024-03-29 08:00:00,939.15
2024-03-30 08:00:00,941.72
2024-03-31 08:00:00,936.18
2024-04-01 08:00:00,938.89
2024-04-02 08:00:00,931.48
2024-04-03 08:00:00,911.61
2024-04-04 08:00:00,911.72
2024-04-05 08:00:00,901.82
