time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,1000.00
2024-01-04 08:00:00,1020.60
2024-01-05 08:00:00,1015.52
2024-01-06 08:00:00,1015.52
2024-01-07 08:00:00,1020.16
2024-01-08 08:00:00,1023.30
2024-01-09 08:00:00,1009.99
2024-01-10 08:00:00,1012.62
2024-01-11 08:00:00,1012.62
2024-01-12 08:00:00,1012.62
2024-01-13 08:00:00,1007.54
2024-01-14 08:00:00,1006.46
2024-01-15 08:00:00,1006.46
2024-01-16 08:00:00,1006.29
2024-01-17 08:00:00,1006.29
2024-01-18 08:00:00,1006.29
2024-01-19 08:00:00,1006.29
2024-01-20 08:00:00,996.59
2024-01-21 08:00:00,996.59
2024-01-22 08:00:00,996.59
2024-01-23 08:00:00,996.59
2024-01-24 08:00:00,985.15
2024-01-25 08:00:00,985.15
2024-01-26 08:00:00,985.15
2024-01-27 08:00:00,985.15
2024-01-28 08:00:00,985.15
2024-01-29 08:00:00,985.15
2024-01-30 08:00:00,985.15
2024-01-31 08:00:00,985.15
2024-02-01 08:00:00,985.15
2024-02-02 08:00:00,985.15
2024-02-03 08:00:00,985.15
2024-02-04 08:00:00,985.15
2024-02-05 08:00:00,986.46
2024-02-06 08:00:00,986.46
2024-02-07 08:00:00,988.51
2024-02-08 08:00:00,987.69
2024-02-09 08:00:00,987.69
2024-02-10 08:00:00,987.69
2024-02-11 08:00:00,987.69
2024-02-12 08:00:00,987.69
2024-02-13 08:00:00,987.69
2024-02-14 08:00:00,987.69
2024-02-15 08:00:00,987.69
2024-02-16 08:00:00,982.61
2024-02-17 08:00:00,985.06
2024-02-18 08:00:00,985.06
2024-02-19 08:00:00,985.06
2024-02-20 08:00:00,985.06
2024-02-21 08:00:00,971.78
2024-02-22 08:00:00,971.78
2024-02-23 08:00:00,974.45
2024-02-24 08:00:00,974.45
2024-02-25 08:00:00,974.45
2024-02-26 08:00:00,974.45
2024-02-27 08:00:00,974.45
2024-02-28 08:00:00,974.45
2024-02-29 08:00:00,966.49
2024-03-01 08:00:00,966.49
2024-03-02 08:00:00,966.49
2024-03-03 08:00:00,968.95
2024-03-04 08:00:00,949.19
2024-03-05 08:00:00,949.39
2024-03-06 08:00:00,971.70
2024-03-07 08:00:00,971.70
2024-03-08 08:00:00,972.27
2024-03-09 08:00:00,972.27
2024-03-10 08:00:00,972.27
2024-03-11 08:00:00,967.19
2024-03-12 08:00:00,967.19
2024-03-13 08:00:00,967.19
2024-03-14 08:00:00,967.19
2024-03-15 08:00:00,967.19
2024-03-16 08:00:00,954.61
2024-03-17 08:00:00,959.65
2024-03-18 08:00:00,949.49
2024-03-19 08:00:00,958.83
2024-03-20 08:00:00,965.10
2024-03-21 08:00:00,968.58
2024-03-22 08:00:00,975.21
2024-03-23 08:00:00,973.86
2024-03-24 08:00:00,973.86
2024-03-25 08:00:00,973.86
2024-03-26 08:00:00,973.86
2024-03-27 08:00:00,973.86
2024-03-28 08:00:00,973.86
2024-03-29 08:00:00,973.86
2024-03-30 08:00:00,978.29
2024-03-31 08:00:00,978.29
2024-04-01 08:00:00,978.29
2024-04-02 08:00:00,963.85
2024-04-03 08:00:00,946.85
2024-04-04 08:00:00,946.85
2024-04-05 08:00:00,944.19
