time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,986.63
2024-01-04 08:00:00,1005.34
2024-01-05 08:00:00,1016.71
2024-01-06 08:00:00,1010.75
2024-01-07 08:00:00,1001.58
2024-01-08 08:00:00,1021.81
2024-01-09 08:00:00,1022.25
2024-01-10 08:00:00,1021.71
2024-01-11 08:00:00,1054.51
2024-01-12 08:00:00,1046.88
2024-01-13 08:00:00,1030.80
2024-01-14 08:00:00,1037.41
2024-01-15 08:00:00,1042.94
2024-01-16 08:00:00,1036.59
2024-01-17 08:00:00,1037.68
2024-01-18 08:00:00,1031.44
2024-01-19 08:00:00,1028.00
2024-01-20 08:00:00,1013.35
2024-01-21 08:00:00,1008.78
2024-01-22 08:00:00,995.49
2024-01-23 08:00:00,993.03
2024-01-24 08:00:00,989.82
2024-01-25 08:00:00,999.10
2024-01-26 08:00:00,1001.82
2024-01-27 08:00:00,1016.59
2024-01-28 08:00:00,1028.39
2024-01-29 08:00:00,1017.17
2024-01-30 08:00:00,1017.06
2024-01-31 08:00:00,1006.54
2024-02-01 08:00:00,1009.50
2024-02-02 08:00:00,1010.06
2024-02-03 08:00:00,1005.00
2024-02-04 08:00:00,1000.65
2024-02-05 08:00:00,998.01
2024-02-06 08:00:00,992.61
2024-02-07 08:00:00,987.56
2024-02-08 08:00:00,987.08
2024-02-09 08:00:00,993.59
2024-02-10 08:00:00,1024.72
2024-02-11 08:00:00,1029.81
2024-02-12 08:00:00,1027.11
2024-02-13 08:00:00,1038.11
2024-02-14 08:00:00,1047.46
2024-02-15 08:00:00,1073.91
2024-02-16 08:00:00,1080.55
2024-02-17 08:00:00,1099.72
2024-02-18 08:00:00,1108.79
2024-02-19 08:00:00,1106.22
2024-02-20 08:00:00,1107.31
2024-02-21 08:00:00,1098.46
2024-02-22 08:00:00,1096.66
2024-02-23 08:00:00,1120.12
2024-02-24 08:00:00,1111.15
2024-02-25 08:00:00,1148.83
2024-02-26 08:00:00,1131.06
2024-02-27 08:00:00,1144.66
2024-02-28 08:00:00,1156.08
2024-02-29 08:00:00,1154.38
2024-03-01 08:00:00,1129.67
2024-03-02 08:00:00,1134.65
2024-03-03 08:00:00,1147.01
2024-03-04 08:00:00,1128.38
2024-03-05 08:00:00,1143.89
2024-03-06 08:00:00,1161.63
2024-03-07 08:00:00,1198.97
2024-03-08 08:00:00,1195.25
2024-03-09 08:00:00,1190.85
2024-03-10 08:00:00,1210.45
2024-03-11 08:00:00,1202.94
2024-03-12 08:00:00,1194.74
2024-03-13 08:00:00,1201.68
2024-03-14 08:00:00,1195.15
2024-03-15 08:00:00,1196.21
2024-03-16 08:00:00,1192.57
2024-03-17 08:00:00,1188.12
2024-03-18 08:00:00,1185.34
2024-03-19 08:00:00,1154.34
2024-03-20 08:00:00,1148.92
2024-03-21 08:00:00,1183.10
2024-03-22 08:00:00,1182.10
2024-03-23 08:00:00,1174.95
2024-03-24 08:00:00,1163.11
2024-03-25 08:00:00,1165.34
2024-03-26 08:00:00,1164.87
2024-03-27 08:00:00,1178.88
2024-03-28 08:00:00,1166.61
2024-03-29 08:00:00,1164.39
2024-03-30 08:00:00,1163.51
2024-03-31 08:00:00,1181.53
2024-04-01 08:00:00,1175.70
