time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,980.00
2024-01-04 08:00:00,935.81
2024-01-05 08:00:00,875.81
2024-01-06 08:00:00,871.99
2024-01-07 08:00:00,894.32
2024-01-08 08:00:00,857.30
2024-01-09 08:00:00,875.67
2024-01-10 08:00:00,818.03
2024-01-11 08:00:00,794.30
2024-01-12 08:00:00,809.67
2024-01-13 08:00:00,769.67
2024-01-14 08:00:00,789.49
2024-01-15 08:00:00,760.83
2024-01-16 08:00:00,720.83
2024-01-17 08:00:00,705.51
2024-01-18 08:00:00,665.51
2024-01-19 08:00:00,648.05
2024-01-20 08:00:00,629.17
2024-01-21 08:00:00,609.48
2024-01-22 08:00:00,589.48
2024-01-23 08:00:00,509.48
2024-01-24 08:00:00,429.48
2024-01-25 08:00:00,448.27
2024-01-26 08:00:00,428.27
2024-01-27 08:00:00,434.01
2024-01-28 08:00:00,481.35
2024-01-29 08:00:00,461.35
2024-01-30 08:00:00,454.50
2024-01-31 08:00:00,460.75
2024-02-01 08:00:00,470.07
2024-02-02 08:00:00,430.07
2024-02-03 08:00:00,430.07
2024-02-04 08:00:00,410.07
2024-02-05 08:00:00,390.07
2024-02-06 08:00:00,370.07
2024-02-07 08:00:00,370.07
2024-02-08 08:00:00,384.64
2024-02-09 08:00:00,364.64
2024-02-10 08:00:00,378.80
2024-02-11 08:00:00,419.62
2024-02-12 08:00:00,440.81
2024-02-13 08:00:00,420.81
2024-02-14 08:00:00,400.81
2024-02-15 08:00:00,400.81
2024-02-16 08:00:00,407.66
2024-02-17 08:00:00,433.51
2024-02-18 08:00:00,433.51
2024-02-19 08:00:00,446.26
2024-02-20 08:00:00,441.01
2024-02-21 08:00:00,355.67
2024-02-22 08:00:00,358.50
2024-02-23 08:00:00,400.25
2024-02-24 08:00:00,434.54
2024-02-25 08:00:00,506.45
2024-02-26 08:00:00,512.15
2024-02-27 08:00:00,472.15
2024-02-28 08:00:00,470.30
2024-02-29 08:00:00,341.24
2024-03-01 08:00:00,273.90
2024-03-02 08:00:00,323.60
2024-03-03 08:00:00,407.56
2024-03-04 08:00:00,381.15
2024-03-05 08:00:00,301.84
2024-03-06 08:00:00,232.46
2024-03-07 08:00:00,92.46
2024-03-08 08:00:00,131.76
2024-03-09 08:00:00,91.76
2024-03-10 08:00:00,141.98
2024-03-11 08:00:00,185.72
2024-03-12 08:00:00,176.30
2024-03-13 08:00:00,161.48
2024-03-14 08:00:00,155.25
2024-03-15 08:00:00,171.54
2024-03-16 08:00:00,57.69
2024-03-17 08:00:00,-42.31
2024-03-18 08:00:00,-31.70
2024-03-19 08:00:00,-41.82
2024-03-20 08:00:00,-131.70
2024-03-21 08:00:00,-229.27
2024-03-22 08:00:00,-116.79
2024-03-23 08:00:00,-196.79
2024-03-24 08:00:00,-147.31
2024-03-25 08:00:00,-147.31
2024-03-26 08:00:00,-119.85
2024-03-27 08:00:00,-67.10
2024-03-28 08:00:00,-114.33
2024-03-29 08:00:00,-128.38
2024-03-30 08:00:00,-120.64
2024-03-31 08:00:00,-140.64
2024-04-01 08:00:00,-122.83
2024-04-02 08:00:00,-98.28
2024-04-03 08:00:00,-155.20
2024-04-04 08:00:00,-141.87
2024-04-05 08:00:00,-152.72
