symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
1000LUNCUSDT,SHORT,2024-01-02 08:05:00,0.1445,2024-01-02 16:00:00,0.14467,1384.083044982699,-0.03,-0.02,FUND_EXIT,95
AGLDUSDT,SHORT,2024-01-02 16:05:00,1.6179,2024-01-03 00:00:00,1.4812,123.6170344273441,17.06,8.53,FUND_EXIT,95
HOTUSDT,SHORT,2024-01-02 16:05:00,0.002538,2024-01-03 00:00:00,0.002551,78802.20646178094,-0.91,-0.46,FUND_EXIT,95
MINAUSDT,SHORT,2024-01-03 00:05:00,1.5238,2024-01-03 08:00:00,1.4794,131.250820317627,5.94,2.97,FUND_EXIT,95
STXUSDT,SHORT,2024-01-03 00:05:00,1.616,2024-01-03 08:00:00,1.5574,123.76237623762376,7.35,3.68,FUND_EXIT,95
1000RATSUSDT,SHORT,2024-01-03 00:05:00,0.32773,2024-01-03 08:00:00,0.34249,610.258444451225,-8.92,-4.46,FUND_EXIT,95
GMXUSDT,SHORT,2024-01-03 00:05:00,61.54,2024-01-03 08:00:00,60.8,3.249918752031199,2.49,1.25,FUND_EXIT,95
1000XECUSDT,LONG,2024-01-03 08:05:00,0.03776,2024-01-03 16:00:00,0.03795,5296.610169491525,1.01,0.51,FUND_EXIT,95
1000XECUSDT,LONG,2024-01-04 00:05:00,0.03468,2024-01-04 08:00:00,0.03379,5767.012687427912,-5.09,-2.54,FUND_EXIT,95
MOVRUSDT,LONG,2024-01-04 08:05:00,24.631,2024-01-04 16:00:00,26.959,8.119848970809143,19.65,9.82,FUND_EXIT,95
MOVRUSDT,LONG,2024-01-05 00:05:00,27.799,2024-01-05 08:00:00,27.42,7.194503399402857,-2.74,-1.37,FUND_EXIT,95
BNBUSDC,LONG,2024-01-06 00:05:00,313.16,2024-01-06 08:00:00,316.87,0.6386511687316387,2.62,1.31,FUND_EXIT,95
BNBUSDT,LONG,2024-01-06 08:05:00,316.79,2024-01-06 16:00:00,302.83,0.6313330597556741,-8.66,-4.33,FUND_EXIT,95
1000XECUSDT,LONG,2024-01-07 08:05:00,0.03358,2024-01-07 16:00:00,0.03385,5955.926146515783,1.63,0.82,FUND_EXIT,95
