time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,991.38
2024-01-04 08:00:00,1008.40
2024-01-05 08:00:00,1012.09
2024-01-06 08:00:00,999.43
2024-01-07 08:00:00,995.19
2024-01-08 08:00:00,999.41
2024-01-09 08:00:00,1001.95
2024-01-10 08:00:00,982.14
2024-01-11 08:00:00,1003.55
2024-01-12 08:00:00,1010.48
2024-01-13 08:00:00,990.99
2024-01-14 08:00:00,991.77
2024-01-15 08:00:00,983.09
2024-01-16 08:00:00,975.12
2024-01-17 08:00:00,981.59
2024-01-18 08:00:00,972.91
2024-01-19 08:00:00,960.44
2024-01-20 08:00:00,948.53
2024-01-21 08:00:00,950.22
2024-01-22 08:00:00,935.41
2024-01-23 08:00:00,927.68
2024-01-24 08:00:00,922.87
2024-01-25 08:00:00,933.45
2024-01-26 08:00:00,941.50
2024-01-27 08:00:00,961.01
2024-01-28 08:00:00,969.66
2024-01-29 08:00:00,960.00
2024-01-30 08:00:00,959.24
2024-01-31 08:00:00,955.25
2024-02-01 08:00:00,960.09
2024-02-02 08:00:00,962.09
2024-02-03 08:00:00,962.40
2024-02-04 08:00:00,958.40
2024-02-05 08:00:00,958.72
2024-02-06 08:00:00,957.23
2024-02-07 08:00:00,954.47
2024-02-08 08:00:00,965.24
2024-02-09 08:00:00,976.46
2024-02-10 08:00:00,1017.54
2024-02-11 08:00:00,1019.65
2024-02-12 08:00:00,1011.28
2024-02-13 08:00:00,1023.29
2024-02-14 08:00:00,1032.88
2024-02-15 08:00:00,1060.03
2024-02-16 08:00:00,1049.20
2024-02-17 08:00:00,1056.44
2024-02-18 08:00:00,1078.42
2024-02-19 08:00:00,1100.19
2024-02-20 08:00:00,1100.61
2024-02-21 08:00:00,1102.30
2024-02-22 08:00:00,1116.70
2024-02-23 08:00:00,1143.71
2024-02-24 08:00:00,1147.28
2024-02-25 08:00:00,1198.55
2024-02-26 08:00:00,1176.73
2024-02-27 08:00:00,1201.62
2024-02-28 08:00:00,1182.38
2024-02-29 08:00:00,1197.56
2024-03-01 08:00:00,1169.40
2024-03-02 08:00:00,1193.37
2024-03-03 08:00:00,1214.08
2024-03-04 08:00:00,1188.41
2024-03-05 08:00:00,1181.75
2024-03-06 08:00:00,1204.20
2024-03-07 08:00:00,1250.66
2024-03-08 08:00:00,1275.33
2024-03-09 08:00:00,1271.21
2024-03-10 08:00:00,1269.96
2024-03-11 08:00:00,1247.13
2024-03-12 08:00:00,1238.90
2024-03-13 08:00:00,1247.85
2024-03-14 08:00:00,1281.37
2024-03-15 08:00:00,1282.64
2024-03-16 08:00:00,1273.38
2024-03-17 08:00:00,1256.68
2024-03-18 08:00:00,1259.71
2024-03-19 08:00:00,1236.33
2024-03-20 08:00:00,1235.25
2024-03-21 08:00:00,1274.02
2024-03-22 08:00:00,1280.48
2024-03-23 08:00:00,1274.30
2024-03-24 08:00:00,1256.03
2024-03-25 08:00:00,1243.69
2024-03-26 08:00:00,1232.22
2024-03-27 08:00:00,1244.17
2024-03-28 08:00:00,1237.59
2024-03-29 08:00:00,1245.08
2024-03-30 08:00:00,1254.14
2024-03-31 08:00:00,1255.25
2024-04-01 08:00:00,1244.34
2024-04-02 08:00:00,1235.94
