symbol,side,entry_time,entry_price,exit_time,exit_price,amount,pnl,pnl_pct,reason,held_bars
TRBUSDT,SHORT,2024-01-02 08:05:00,181.663,2024-01-02 12:10:00,190.74615000000003,1.100939651992976,-10.00,-5.00,FUND_SL,49
SOLUSDT,SHORT,2024-01-02 08:05:00,109.447,2024-01-02 16:20:00,114.91935000000001,1.827368497994463,-9.90,-4.95,FUND_SL,99
FILUSDT,SHORT,2024-01-02 08:05:00,7.52,2024-01-02 19:40:00,7.896,26.595744680851066,-9.89,-4.95,FUND_SL,139
BTCUSDT,SHORT,2024-01-02 08:05:00,44341,2024-01-03 08:00:00,44988.6,0.004510498184524481,-2.70,-1.35,FUND_TIME,287
ETHUSDT,SHORT,2024-01-02 08:05:00,2351.69,2024-01-03 08:00:00,2358.41,0.08504522279722242,-0.28,-0.14,FUND_TIME,287
ORDIUSDT,SHORT,2024-01-03 00:05:00,81.833,2024-01-03 08:00:00,83.405,2.4440018085613384,-3.83,-1.92,FUND_EXIT,95
ARBUSDT,SHORT,2024-01-03 08:05:00,1.7854,2024-01-03 09:25:00,1.8746700000000003,112.0197154699227,-10.00,-5.00,FUND_SL,16
SEIUSDT,SHORT,2024-01-03 08:05:00,0.7094,2024-01-03 12:05:00,0.74487,281.928390188892,-10.00,-5.00,FUND_SL,48
FILUSDT,SHORT,2024-01-03 08:05:00,7.21,2024-01-03 13:00:00,7.5705,27.739251040221916,-10.00,-5.00,FUND_SL,59
TRBUSDT,SHORT,2024-01-02 16:05:00,179.434,2024-01-03 16:00:00,173.47,1.114615959071302,6.95,3.47,FUND_TIME,287
ARBUSDT,SHORT,2024-01-03 16:05:00,1.9138,2024-01-03 18:35:00,2.00949,104.50412791305257,-10.00,-5.00,FUND_SL,30
SEIUSDT,SHORT,2024-01-03 16:05:00,0.7348,2024-01-03 21:10:00,0.77154,272.18290691344583,-10.00,-5.00,FUND_SL,61
SOLUSDT,SHORT,2024-01-03 00:05:00,109.701,2024-01-04 00:00:00,101.718,1.8231374372157045,14.66,7.33,FUND_TIME,287
ARBUSDT,SHORT,2024-01-04 00:05:00,1.912,2024-01-04 00:30:00,2.0076,104.60251046025105,-10.00,-5.00,FUND_SL,5
ORDIUSDT,SHORT,2024-01-04 00:05:00,81.579,2024-01-04 08:00:00,75.978,2.451611321541083,13.74,6.87,FUND_EXIT,95
PEOPLEUSDT,SHORT,2024-01-04 00:05:00,0.04152,2024-01-04 08:00:00,0.02143,4816.955684007707,96.77,48.38,FUND_EXIT,95
SEIUSDT,SHORT,2024-01-04 08:05:00,0.778,2024-01-04 09:00:00,0.8169000000000001,257.0694087403599,-10.00,-5.00,FUND_SL,11
BTCUSDT,SHORT,2024-01-03 16:05:00,45071,2024-01-04 16:00:00,42879.2,0.004437443145259701,9.78,4.89,FUND_TIME,287
ETHUSDT,SHORT,2024-01-03 16:05:00,2365.15,2024-01-04 16:00:00,2225.34,0.08456123290277572,11.88,5.94,FUND_TIME,287
SEIUSDT,SHORT,2024-01-04 16:05:00,0.7706,2024-01-04 20:50:00,0.80913,259.53802232026993,-10.00,-5.00,FUND_SL,57
ARBUSDT,SHORT,2024-01-04 08:05:00,1.9106,2024-01-04 22:55:00,2.00613,104.67915837956663,-9.98,-4.99,FUND_SL,178
SOLUSDT,SHORT,2024-01-04 08:05:00,98.387,2024-01-04 23:25:00,103.30635000000001,2.0327888847103783,-9.98,-4.99,FUND_SL,184
SOLUSDT,SHORT,2024-01-05 00:05:00,102.978,2024-01-05 04:35:00,108.12689999999999,1.9421624036201908,-10.00,-5.00,FUND_SL,54
ORDIUSDT,SHORT,2024-01-04 16:05:00,75.16,2024-01-05 08:00:00,75.431,2.660989888238425,-0.70,-0.35,FUND_EXIT,191
PEOPLEUSDT,SHORT,2024-01-05 08:05:00,0.02373,2024-01-05 09:35:00,0.0249165,8428.150021070374,-10.00,-5.00,FUND_SL,18
XRPUSDT,SHORT,2024-01-04 16:05:00,0.5759,2024-01-05 16:00:00,0.574,347.2825143254037,0.72,0.36,FUND_TIME,287
PEOPLEUSDT,SHORT,2024-01-05 16:05:00,0.0262,2024-01-05 17:40:00,0.027510000000000003,7633.587786259542,-10.00,-5.00,FUND_SL,19
BTCUSDT,SHORT,2024-01-05 00:05:00,44001,2024-01-06 00:00:00,43537.1,0.004545351242017227,2.17,1.08,FUND_TIME,287
ETHUSDT,SHORT,2024-01-05 00:05:00,2274.99,2024-01-06 00:00:00,2229.42,0.08791247434054655,4.07,2.03,FUND_TIME,287
PEOPLEUSDT,SHORT,2024-01-06 00:05:00,0.03392,2024-01-06 00:40:00,0.035616,5896.22641509434,-10.00,-5.00,FUND_SL,7
SOLUSDT,SHORT,2024-01-05 08:05:00,104.865,2024-01-06 08:00:00,99.663,1.907214037095313,9.98,4.99,FUND_TIME,287
ARBUSDT,SHORT,2024-01-05 16:05:00,1.9531,2024-01-06 16:00:00,1.7551,102.40131073677743,20.33,10.17,FUND_TIME,287
XRPUSDT,SHORT,2024-01-06 00:05:00,0.5647,2024-01-07 00:00:00,0.571,354.17035594120773,-2.17,-1.09,FUND_TIME,287
SEIUSDT,SHORT,2024-01-06 00:05:00,0.7292,2024-01-07 00:00:00,0.6454,274.27317608337904,23.04,11.52,FUND_TIME,287
POWRUSDT,SHORT,2024-01-07 00:05:00,0.8696,2024-01-07 01:35:00,0.9130800000000001,229.99080036798526,-10.00,-5.00,FUND_SL,18
BTCUSDT,SHORT,2024-01-06 08:05:00,44132,2024-01-07 08:00:00,43959,0.004531858968548899,0.84,0.42,FUND_TIME,287
ETHUSDT,SHORT,2024-01-06 08:05:00,2269.39,2024-01-07 08:00:00,2238.54,0.08812940922450527,2.78,1.39,FUND_TIME,287
MASKUSDT,SHORT,2024-01-07 08:05:00,4.948,2024-01-07 10:00:00,5.1954,40.420371867421174,-10.00,-5.00,FUND_SL,23
ARBUSDT,SHORT,2024-01-07 08:05:00,1.7485,2024-01-07 12:05:00,1.835925,114.3837575064341,-10.00,-5.00,FUND_SL,48
ORDIUSDT,SHORT,2024-01-07 08:05:00,67.562,2024-01-07 12:10:00,70.9401,2.9602439240993457,-10.00,-5.00,FUND_SL,49
PEOPLEUSDT,SHORT,2024-01-07 00:05:00,0.0442,2024-01-07 13:05:00,0.04641000000000001,4524.886877828054,-9.98,-4.99,FUND_SL,156
SOLUSDT,SHORT,2024-01-06 16:05:00,94.166,2024-01-07 16:00:00,95.336,2.1239088418325087,-2.42,-1.21,FUND_TIME,287
GMTUSDT,SHORT,2024-01-07 16:05:00,0.4123,2024-01-07 16:40:00,0.432915,485.0836769342712,-10.00,-5.00,FUND_SL,7
PEOPLEUSDT,SHORT,2024-01-07 16:05:00,0.05107,2024-01-07 19:30:00,0.0536235,3916.193459956922,-10.00,-5.00,FUND_SL,41
POWRUSDT,LONG,2024-01-08 00:05:00,0.5179,2024-01-08 06:15:00,0.492005,386.17493724657265,-10.00,-5.00,FUND_SL,74
PEOPLEUSDT,SHORT,2024-01-08 08:05:00,0.04275,2024-01-08 11:15:00,0.044887500000000004,4678.3625730994145,-10.00,-5.00,FUND_SL,38
BTCUSDT,SHORT,2024-01-07 16:05:00,44109,2024-01-08 16:00:00,43958.3,0.004534222040853341,0.74,0.37,FUND_TIME,287
ETHUSDT,SHORT,2024-01-07 16:05:00,2248.62,2024-01-08 16:00:00,2223.84,0.08894344086595335,2.26,1.13,FUND_TIME,287
MASKUSDT,SHORT,2024-01-07 16:05:00,4.892,2024-01-08 16:00:00,3.612,40.883074407195416,52.38,26.19,FUND_TIME,287
ARBUSDT,SHORT,2024-01-08 16:05:00,1.6791,2024-01-08 21:25:00,1.763055,119.11142874158776,-10.00,-5.00,FUND_SL,64
SOLUSDT,SHORT,2024-01-08 00:05:00,94.014,2024-01-09 00:00:00,95.296,2.1273427361882273,-2.67,-1.33,FUND_TIME,287
PEOPLEUSDT,SHORT,2024-01-08 16:05:00,0.0452,2024-01-09 16:00:00,0.03615,4424.778761061947,40.10,20.05,FUND_TIME,287
GMTUSDT,SHORT,2024-01-08 16:05:00,0.3776,2024-01-09 16:00:00,0.3388,529.6610169491526,20.61,10.30,FUND_TIME,287
XRPUSDT,SHORT,2024-01-08 16:05:00,0.5572,2024-01-09 16:00:00,0.5719,358.9375448671931,-5.21,-2.61,FUND_TIME,287
BTCUSDT,SHORT,2024-01-09 00:05:00,45077.6,2024-01-10 00:00:00,46853.9,0.004436793440644578,-7.82,-3.91,FUND_TIME,287
ETHUSDT,SHORT,2024-01-09 00:05:00,2275.81,2024-01-10 00:00:00,2257.32,0.08788079848493503,1.69,0.84,FUND_TIME,287
SOLUSDT,SHORT,2024-01-09 16:05:00,101.956,2024-01-10 05:10:00,107.05380000000001,1.9616305072776492,-9.98,-4.99,FUND_SL,157
ARBUSDT,SHORT,2024-01-09 16:05:00,1.8134,2024-01-10 08:25:00,1.90407,110.29006286533584,-9.96,-4.98,FUND_SL,196
