time,equity
2024-01-01 08:00:00,1000.00
2024-01-02 08:00:00,1000.00
2024-01-03 08:00:00,1003.23
2024-01-04 08:00:00,1088.13
2024-01-05 08:00:00,1108.88
2024-01-06 08:00:00,1110.88
2024-01-07 08:00:00,1104.06
2024-01-08 08:00:00,1070.85
2024-01-09 08:00:00,1068.07
2024-01-10 08:00:00,1022.71
2024-01-11 08:00:00,1022.71
2024-01-12 08:00:00,1016.55
2024-01-13 08:00:00,1012.11
2024-01-14 08:00:00,1008.80
2024-01-15 08:00:00,1004.46
2024-01-16 08:00:00,1008.35
2024-01-17 08:00:00,999.03
2024-01-18 08:00:00,990.96
2024-01-19 08:00:00,982.40
2024-01-20 08:00:00,1184.95
2024-01-21 08:00:00,1165.54
2024-01-22 08:00:00,1194.84
2024-01-23 08:00:00,1180.73
2024-01-24 08:00:00,1186.30
2024-01-25 08:00:00,1159.92
2024-01-26 08:00:00,1128.48
2024-01-27 08:00:00,1165.07
2024-01-28 08:00:00,1181.31
2024-01-29 08:00:00,1155.22
2024-01-30 08:00:00,1154.06
2024-01-31 08:00:00,1136.75
2024-02-01 08:00:00,1125.07
2024-02-02 08:00:00,1151.90
2024-02-03 08:00:00,1128.83
2024-02-04 08:00:00,1121.92
2024-02-05 08:00:00,1112.47
2024-02-06 08:00:00,1107.65
2024-02-07 08:00:00,1086.42
2024-02-08 08:00:00,1134.99
2024-02-09 08:00:00,1175.80
2024-02-10 08:00:00,1182.34
2024-02-11 08:00:00,1181.56
2024-02-12 08:00:00,1171.05
2024-02-13 08:00:00,1154.65
2024-02-14 08:00:00,1196.80
2024-02-15 08:00:00,1205.16
2024-02-16 08:00:00,1174.71
2024-02-17 08:00:00,1186.95
2024-02-18 08:00:00,1147.86
2024-02-19 08:00:00,1099.30
2024-02-20 08:00:00,1057.22
2024-02-21 08:00:00,1058.86
2024-02-22 08:00:00,1098.35
2024-02-23 08:00:00,1054.24
2024-02-24 08:00:00,1040.39
2024-02-25 08:00:00,1039.61
2024-02-26 08:00:00,1172.00
2024-02-27 08:00:00,1233.79
2024-02-28 08:00:00,1191.30
2024-02-29 08:00:00,1079.17
2024-03-01 08:00:00,1128.68
2024-03-02 08:00:00,1043.48
2024-03-03 08:00:00,990.14
2024-03-04 08:00:00,976.02
2024-03-05 08:00:00,877.42
2024-03-06 08:00:00,787.66
2024-03-07 08:00:00,770.13
2024-03-08 08:00:00,803.32
2024-03-09 08:00:00,674.70
2024-03-10 08:00:00,660.23
2024-03-11 08:00:00,663.81
2024-03-12 08:00:00,651.83
2024-03-13 08:00:00,685.06
2024-03-14 08:00:00,701.55
2024-03-15 08:00:00,698.77
2024-03-16 08:00:00,805.69
2024-03-17 08:00:00,866.19
2024-03-18 08:00:00,821.97
2024-03-19 08:00:00,886.91
2024-03-20 08:00:00,822.27
2024-03-21 08:00:00,801.50
2024-03-22 08:00:00,799.12
2024-03-23 08:00:00,789.25
2024-03-24 08:00:00,789.25
2024-03-25 08:00:00,790.74
2024-03-26 08:00:00,800.13
2024-03-27 08:00:00,778.08
2024-03-28 08:00:00,763.91
2024-03-29 08:00:00,714.72
2024-03-30 08:00:00,770.38
2024-03-31 08:00:00,776.52
2024-04-01 08:00:00,730.38
2024-04-02 08:00:00,818.95
